SNU 2D Programming Tools language support and information,,,,,,
Language A,Type,Developers,First version,Latest version,CPU type,Operating system support
ABC,Programming language,*,*,*,86x64/x32,?
ALGOL,Programming language,*,*,*,*,*
AppleScript,Programming language,Apple Inc.,*,*,*,*
Ada,Programming language,*,*,*,x64/x32,"MacOS X, MacOS 11, IphoneOS, Ios, iPadOS"
ActionScript,Programming language,*,*,*,x64/x32,Many
AngelScript,Programming language,*,*,*,*,*
Assembly,Assembly language,*,"?, 1940s",*,All,All
AWK,Scripting language,*,*,*,*,UNIX-like
,,,,,,
,,,,,,
B,Programming language,"Dennis Ritchie, Ken Thompson",,,x32,UNIX-like
Boo,Programming language,GNOME,,,86x64/x32,UNIX-like
BASIC,Programming language,,,,8 bit/16 bit,*
Bourne Again Shell,Scripting language,,,,all,UNIX-like
Blockly,Block-based programming language,Google,,,86x64/x32,"Windows, MacOS, Linux, UNIX-like"
Batchfile,Scripting language,Microsoft,,,"x16, 86x64/x32","MS-DOS, Windows 9x, Windows NT, Windows"
BibTeX,Page description language,LaTeX foundation,,,"x16, 86x64/x32",Cross-platform
BrightScript,Programming language,ROKU,,,86x64/x32,"ROKU, Linux"
,,,,,,
C,Programming language,"Dennis Ritchie, Ken Thompson",1970,,all,All
C#,Programming language,Microsoft,,,86x64/x32,Windows NT
C++,Programming language,Bjarne Strousnip,,,86x64/x32,Many
Cmake,Build automation language,,,,86x64/x32,Many
CoffeeScript,"Web programming language, JavaScript-based",,,,86x64/x32,Cross-platform
Crystal,Programming language,,,,86x64/x32,Cross-platform
CUDA,Hardware language,Nvidia,,,86x64/x32,"Windows, MacOS, Linux, UNIX-like"
Cpython,"Programming language, Python-based",,,,,
COBOL,Programming language,,,,,
CSS,Stylesheet language,,,,,
Csound,Audio programming language,,,,,
CAML,Programming language,,,,,
Clojure,"Programming language, Lisp-based",,,,,
,,,,,,
,,,,,,
D,Programming language,,,,,
Diff,Version control language,,,,,
Dhali,Programming language,,,,,
Dart,Programming language,Google,,,,
Docker,Version control language,,,,,
,,,,,,
,,,,,,
EJS,"Web programming language, XML-based",,,,,
Elixir,Programming language,,,,,
Eiffel,Programming language,,,,,
ECMAScript,"Web programming language, JavaScript-based",,,,,
Emacs Lisp,"Programming language, Lisp-based",,,,,
Erlang,Programming language,,,,,
,,,,,,
,,,,,,
FORTRAN,Programming language,,,,,
F#,Programming language,Microsoft,,,,
F*,Programming language,Microsoft,,,,
Freemarker,"Web programming language, XML-based",Mozilla,,,,
,,,,,,
,,,,,,
GDScript,Game programming language,GoDot,,,,
Go!,Agent-based programming language,Francis McCabe,,,,
Go,Programming language,Google,,,,
Google Apps Script,Web programming language,Google,,,,
GLSL,Shading language,,,,,
Gherkin,"Web programming language, PHP-based",,,,,
Genie,Programming language,GNOME,,,,
,,,,,,
,,,,,,
HTML,"Web programming language, XML-based",,,,,
Haskell,Programming language,,,,,
Hack,Web programming language,Facebook,,,,
Handlebars,Web programming language,,,,,
,,,,,,
,,,,,,
Idris,Programming language,,,,,
Inno Setup Script,Configuration language,,,,,
Intel Hex Binary,Binary language,Intel,,,,
ImageJ,Macro language,,,,,
Inform,Dialog game programming language,,,,,
Isabelle,Mathematical proofing language,,,,,
IronPython,"Programming language, Python-based",Microsoft,,,,
INI,Configuration language,Microsoft,,,,
,,,,,,
Java,Programming language,Sun MicroSystems/Oracle,,,,
JavaScript,Web programming language,Mozilla,,,,
Jscript,"Web programming language, JavaScript-based",Microsoft,,,,
Jscript.NET,"Web programming language, JavaScript-based",Microsoft,,,,
JSSS,"Web programming language, JavaScript and CSS-Based",NetScape,,,,
JSON,Configuration language,,,,,
Jython,"Programming language, Python-based",,,,,
Julia,Programming language,,,,,
Jupyters Notebook,Notebook language,,,,,
JADE,Paid programming language,,,,,
J,Programming language,,,,,
,,,,,,
,,,,,,
Kotlin,"Programming language, Java based",,,,,
KiXtart,Configuration language,,,,,
,,,,,,
,,,,,,
Limbo,Scripting language,,,,,
Lisp,Programming language,,,,,
Lisp Flavored Erlang (LFE),"Programming language, Lisp-based",,,,,
Lua,Programming language,,,,,
Less,Stylesheet language,,,,,
LogTalk,Scripting language,,,,,
Liquid,"Web programming language, Ruby-based",,,,,
,,,,,,
,,,,,,
Makefile,Build automation language,,,,,
M4,Scripting language,,,,,
Mathematica,Programming language,,,,,
Modelica,Programming language,,,,,
Modula,Programming language,,,,,
Modula-2,Programming language,,,,,
Modula-3,Programming language,,,,,
MatLab,Mathematical programming language,,,,,
Markdown,Markup language,,,,,
MediaWiki,Markup language,MediaWiki foundation,,,,
MS-DOS Style,Configuration language,Microsoft,,,,
,,,,,,
,,,,,,
Nim,Programming language,,,,,
Nix,Package management language,Nix group,,,,
Nunjucks,"Web programming language, JavaScript-based",Mozilla,,,,
,,,,,,
,,,,,,
Oberon,Programming language,,,,,
Objective-C,Programming language,Apple Inc.,,,,
Objective-J,Programming language,Cappucchino,,,,
Ocaml,Programming language,,,,,
,,,,,,
,,,,,,
PHP,Web programming language,PHP Foundation,,,,
Pug,Web programming language,,,,,
Perl,Programming language,,,,,
Python,Programming language,Python foundation,,,,
Pascal,Programming language,,,,,
PowerShell,Scripting language,Microsoft,,,,
PostScript,Page description language,,,,,
Prolog,Programming language,,,,,
PureScript,Programming language,,,,,
,,,,,,
,,,,,,
Q#,Quantum computer programming language,Microsoft,,,,
QML,Stylesheet language,QT software,,,,
,,,,,,
,,,,,,
Racket,"Programming language, Lisp-based",,,,,
R,Programming language,,,,,
REBOL,Programming language,,,,,
Rust,Programming language,,,,,
Raku,"Programming language, Perl-based",,,,,
ReStructuredText,Markup language,Python foundation,,,,
Ruby,Web programming language,,,,,
,,,,,,
,,,,,,
SGML,Markup language,,,,,
Scala,Programming language,,,,,
Seed7,Programming language,,,,,
SASS,Stylesheet language,,,,,
SCSS,Stylesheet language,,,,,
SQL,Database query language,,,,,
SREC,Binary language,,,,,
SXML,"Web programming language, XML-based",,,,,
Scheme,"Programming language, Lisp-based",,,,,
SmallTalk,Programming language,,,,,
Swift,Programming language,Apple Inc.,,,,
Scratch,Block-based programming language,MIT,,,,
Squeak,Block-based programming language,Apple Inc.,,,,
SystemVerilog,Hardware language,,,,,
Starlark,Build automation language,Google,,,,
Stylus,Stylesheet language,,,,,
SASS,Stylesheet language,,,,,
SVG,"Vector image file format and language, XML-based",,,,,
,,,,,,
TypeScript,,,,,,
TOML,Programming language,Microsoft,,,,
TCL,Markup language,,,,,
TeX,Page description language,LaTeX foundation,,,,
Twig,"Web programming language, PHP-based",,,,,
,,,,,,
,,,,,,
UnrealScript,Game programming language,Epic Games,,,,
,,,,,,
,,,,,,
Vala,Programming language,GNOME,,,,
Verilog,Hardware language,,,,,
Verilog-AMS,Hardware language,,,,,
VHDL,Hardware language,,,,,
Vim Script,Scripting language,Vim group,,,,
Visual Basic Script,Programming language,Microsoft,,,,
Visual Basic DOT NET,Programming language,Microsoft,,,,
Vue.JS,"Web programming language, JavaScript-based",,,,,
,,,,,,
,,,,,,
WebVTT,Subtitles language,,,,,
WebAssembly,Web programming language,,,,,
,,,,,,
,,,,,,
XSLT,XML transformation language,,,,,
XML,Markup language,,,,,
,,,,,,
,,,,,,
YAML,Data serialization language,YAML organization,,,,
Yacc,Scripting language,,,,,
,,,,,,
,,,,,,
ZenScript,,,,,,
