Supported programming languages ,
ABC,
ALGOL (ALGOrithmic Language),
ASP(ActionServerPages),
ASP.NET,
Actionscript,
Ada,
AppleScript,
Assembly,
B,
BASIC,
BATCH,
Blockly,
Boo,
BourneAgainSHell (BASH),
C,
COBOL,
CPython,
CSS (Cascade Styling Sheets),
CSound,
C_(EDK2),
C_Plus_Plus,
C_Sharp,
Caml (Categorized Abstract Machine Language,
Clojure,
D,
Dart,
Diff,
Elixir,
Erlang,
FORTRAN (FORmula TRANslation),
F_(Sharp),
Genie,
Go (Google, 2009)
Go! (Frances McCabe, 2003)
HTML,
Haskell,
IntelHexBinary,
IronPython,
JScript,
JScript_.NET,
Java,
JavaScript,
Julia,
Jython,
Lisp (LISt Processor),
Lisp-Flavored-Erlang_LFE,
Lua,
MSDOS_Style,
Markdown,
MediaWiki,
Nim(Nimrod),
Objective-C,
Objective-J,
PHP (PHP Hypertext Preprocessor),
Pascal,
Perl,
PostScript,
PowerShell,
Python,
ReStructuredText,
Ruby,
Rust,
SGML (Standard Generalized Markup Language),
SQL (Structured Query Language),
SREC(MotorolaS-RecordBinaryData),
SXML,
Samples,
Scala,
Scheme,
Scratch 3,
Smalltalk,
Snowcraft,
Squeak,
Swift(Apple),
SystemVerilog,
TCL,
TypeScript,
Vala,
Verilog-AMS,
Verilog,
VirtualHardDiskLanguage,
Visual Basic Script,
VisualBasic.NET,
WebAssembly,
XML,
YAML (YAML Ain't Markup Language),
